,GC_Content,AT_Content,Num_A,Num_T,Num_C,Num_G,kmer_3_freq
GC_Content,1.0,-1.0,-0.5862560115405505,-0.5863192817755226,0.5858783811247703,0.5808085208067802,0.00453085753406813
AT_Content,-1.0,1.0,0.5862560115405505,0.5863192817755226,-0.5858783811247703,-0.5808085208067802,-0.00453085753406813
Num_A,-0.5862560115405505,0.5862560115405505,1.0,-0.3125335897040067,-0.3394918724758224,-0.3445032327901713,0.014713817594267717
Num_T,-0.5863192817755226,0.5863192817755226,-0.3125335897040067,1.0,-0.34749441700044,-0.33653871498545396,-0.020025607405792137
Num_C,0.5858783811247703,-0.5858783811247703,-0.3394918724758224,-0.34749441700044,1.0,-0.3194142071910949,0.014664707685348779
Num_G,0.5808085208067802,-0.5808085208067802,-0.3445032327901713,-0.33653871498545396,-0.3194142071910949,1.0,-0.009432578702154611
kmer_3_freq,0.00453085753406813,-0.00453085753406813,0.014713817594267717,-0.020025607405792137,0.014664707685348779,-0.009432578702154611,1.0
